acompanyId,acompanyName
0,气腹痛
1,皲裂疮
2,大叶性肺炎
3,新生儿水肿
4,小儿支气管扩张
5,脓疱疮
6,唇裂
7,浆细胞瘤
8,淤滞性皮下硬化症
9,截瘫
10,月经过多
11,成人痒疹
12,心功能障碍
13,胃病
14,脊髓炎
15,应激性溃疡
16,先天性声带发育不良
17,嗅觉障碍
18,黏膜白斑
19,小儿高热
20,暴露性角膜炎
21,皮肤黏液瘤
22,品行障碍
23,弥漫性血管内凝血
24,矮小症
25,肺转移瘤
26,口腔结核性溃疡
27,儿童胰腺功能不全并中性粒细胞减少症综合征
28,新生儿肺炎
29,病毒性肠炎
30,腹主动脉动脉瘤破裂
31,细菌性角膜溃疡
32,脓胸
33,胸腔积液
34,下肢神经损伤
35,口臭
36,外阴颗粒性肌母细胞瘤
37,肘内翻畸形
38,小儿周期性低血钾性麻痹
39,晕动病
40,腹膜后淋巴结炎
41,慢性肾炎
42,单纯性甲状腺肿
43,肝脓肿
44,颅脑先天畸形
45,四环素牙
46,肺热咳嗽
47,感染性血小板减少性紫癜
48,急性化脓性乳腺炎
49,畸形性骨炎
50,慢性肾上腺皮质功能减退症
51,肉瘤
52,花斑癣
53,血管内皮瘤
54,小脑扁桃体下疝畸形
55,脊柱畸形
56,房室传导阻滞
57,前列腺增生
58,小儿惊厥
59,眼球突出
60,肺不张
61,非细菌性前列腺炎
62,颈椎椎管狭窄症
63,干燥综合征
64,阻塞性睡眠呼吸暂停综合征
65,免疫抑制药和抗癌药中毒性肾病
66,阴道炎
67,生殖道肿瘤皮肤转移
68,结节性硬化症
69,老年斑
70,肾虚
71,流产
72,睾丸炎
73,肾皮质脓肿
74,溃疡病急性穿孔
75,阵发性室性心动过速
76,系统性红斑狼疮
77,老年人脑出血
78,红斑型天疱疮
79,球后视神经炎
80,急性肾小球肾炎
81,嗜血流感杆菌的皮肤感染
82,大肠癌
83,癣菌疹
84,膀胱不发育与发育不全
85,寻常疣
86,百草枯中毒
87,角膜葡萄肿
88,骨化性肌炎
89,儿童腹痛
90,急性淋巴细胞性白血病
91,小汗腺痣
92,缺血性坏死
93,巨大儿
94,失血性休克
95,腭裂
96,视网膜母细胞瘤
97,右束支传导阻滞
98,间质性肾炎
99,低钠血症
100,湿疹
101,前牙反合
102,便秘
103,太阳中风
104,紫癜性肾炎
105,慢性心力衰竭
106,性早熟
107,肠系膜上动脉栓塞
108,前列腺结石
109,膀胱癌
110,难产
111,血脂异常
112,肝大
113,肛门失禁
114,甲营养不良
115,短颈畸形
