foodId,foodName
0,酱五花肉
1,萝卜火腿粥
2,炒素鸡丝
3,牛鞭壮阳汤
4,巧克力核桃糕
5,菠菜煎豆腐
6,菠菜蛋花汤
7,清茶豆腐羹
8,马齿苋槟榔粥
9,圆肉腐竹红枣白菜汤
10,杏仁糯米粥
11,猕猴桃西芹汁
12,淮杞煲羊脑
13,冬虫夏草鸡
14,黄瓜拌鸡丝
15,青油菜炒银鱼丝
16,松子玉米
17,干烧杞麦冬笋
18,双皮奶
19,田鸡发菜猪腱汤
20,山药烧甲鱼
21,当归炖甲鱼
22,酱爆海蟹
23,双丝银鱼羹
24,蜜枣猪肺汤
25,酸奶
26,桂圆草莓炒山药
27,海带黄花蛋汤
28,胡萝卜蛋糕
29,茄汁菊花鱼
30,砂仁蒸鲫鱼
31,炖酥香海带
32,五香酱色豆腐干
33,辣椒粥
34,枸杞海参煮鸽蛋
35,荠菜汤
36,黑芝麻山药何首乌粉
37,河虾
38,竹荪玉笋粥
39,熘炒黄花猪腰
40,咖喱牛肉蒸饺
41,苦瓜炒猪肝
42,菇笋萝卜豆腐汤
43,海米浇菜花
44,小豆节瓜汤
45,番茄奶油汤
46,炸鸭肝两样
47,排骨煨藕汤
48,火夹冬瓜汤
49,菠菜水饺
50,酱南瓜
51,荠菜水饺
52,萝卜干炒饭
53,肉松
54,芡实白果猪肚汤
55,红萝卜
56,眉豆鲤鱼煲
57,薄菊粥
58,鳗鱼粥
59,乌梅蚕茧红枣方
60,白菜清汤
61,夏果炒西芹
62,油菜苹果牛奶汁
63,红枣羊骨糯米粥
64,清炖牛尾汤
65,炖五香牛肉
66,胡萝卜苹果汁
67,蒲公英粥
68,菠菜虾米汤
69,苡仁冬瓜汤
70,鸡蛋米汤粥
71,三米红枣桂圆粥
72,肉末四季豆
73,鸡蛋酿苹果
74,青豆炒丝瓜
75,芹菜炒土豆丝
76,豌豆
77,芋头萝卜菜
78,清炖猪蹄膀
79,花雕鸡爪
80,茯苓清蒸桂鱼
81,丝瓜毛豆
82,三鲜冬瓜卷
83,太子参烧羊肉
84,海虾白菜鸡蛋煲
85,牡蛎虾皮粥
86,果汁豆腐
87,莲藕红豆煲羊肉
88,山楂海带丝
89,冬菇油菜心
90,山药芡实粥
91,清蒸鲤鱼
92,开洋大白菜
93,凤梨果仁松糕
94,蛋花空心菜汤
95,薄荷茶
96,槐花茶
97,姜
98,香菇冬瓜汤
99,韭菜包
100,小米面甜沫
101,胡萝卜浆汤
102,奶油白菜
103,花生（炒）
104,芹菜牛肝汤
105,芝麻大饼
106,木瓜鲤鱼煲
107,三鲜蘑菇
108,茄子拌芦荟酱
109,红豆粽子
110,肉末蒸蛋羹
111,大枣粥
112,苹果色拉
113,干煸青椒苦瓜
114,花菜饺
115,腐竹汤
116,鸡蓉玉米羹
117,焐酥豆糖粥
118,萝卜干饺
119,淮山枸杞子炖猪脑
120,生菜豆皮汤
121,清炒嫩黄瓜
122,胡萝卜炒肉丝粉
123,酱黄瓜
124,酥香鲫鱼
125,炝苋菜
126,西式牛奶粥
127,白果（鲜）
128,鲫鱼砂仁羹
129,松子豌豆
130,清爽西兰花
131,肉末梨花豆腐汤
132,野菊花烧草鱼
133,小麦豆角粥
134,鹿角胶粥
135,牛肉铁锅
136,羊骨大米粥
137,南瓜子仁
138,黑米党参山楂粥
139,烫面牛肉烧卖
140,素三鲜豆腐汤
141,牛柳红木瓜
142,雪耳炖木瓜
143,桂圆枸杞粥
144,羊腩萝卜丝粥
145,青菜包
146,软熘鲤鱼扇
147,鱼腥草蒸鸡
148,鲜草菇丝瓜鱼片汤
149,西芹烧腐竹
150,荠菜饮
151,青椒鸡丁
152,土豆泥牛奶粥
153,白果奶羹
154,香菇油菜包
155,猪腰子
156,紫菜瘦肉粥
157,鲤鱼首乌汤
158,鲫鱼川贝汤
159,黄豆粥
160,小麦生地百合羹
161,酥炸鸭肉卷
162,银耳羹
163,砂锅鱼头豆腐
164,牛奶麦片粥
165,百合荸荠雪梨羹
166,木瓜
167,土豆浆汤
168,参芪归姜羊肉羹
169,百合银耳粥
170,竹荪莲子汤
171,麻仁羊肉
172,牛乳红茶
173,荸荠豆腐汤
174,甲鱼烧冬瓜
175,烧竹笋
176,清炒蘑菇
177,荠菜根
178,乌药羊肉汤
179,贝菜炖蟹肉
180,糯米红枣炖鲤鱼
181,冬笋炖鸡
182,发菜煲瘦肉汤
183,冬菜鸭
184,猪肝豌豆苗汤
185,拌海蜇头
186,肉片粥
187,蜜饯白果
188,绿豆包
189,荠菜粥
190,百合芦笋汤
191,茼蒿粥
192,肉末烧海参
193,土豆汤
194,眉豆猪舌汤
195,枸杞子炖牛肉（二）
196,韭菜花饺
197,炒面
198,酱萝卜拌豆芽
199,鸭肫
200,黄芪羊肉汤
201,菠菜猪肝肉片汤
202,天麻脑花
203,天麻鱼头汤
204,普洱冬菜粥
205,银耳莲子羹
206,羊肉烩面
207,肉桂米饭
208,三鲜酿黄瓜
209,香梨沙拉
210,红花糯米粥
211,枸杞黄精炖白鸽
212,白糖莲心粥
213,蛋茸牛肉羹
214,鱼肉糊
215,人参汤圆
216,牛奶蛋清炒章鱼
217,清牛肉汤
218,核桃仁粥
219,莲子鸡丁
220,西瓜皮丁粥
221,醋溜白菜(二)
222,番茄草菇
223,龙井鲶鱼清汤
224,油菜丝炒面
225,白芷茯苓薏苡仁粥
226,清蒸红汤鸡翅
227,干贝玉米羹
228,酱汁鸡肉丸子串
229,双豆羹
230,鸭肉冬瓜海参汤
231,菜花炒素虾仁
232,白术猪肚粥
233,番茄牛肉汤
234,蜂蜜橘糊
235,百合粳米鸡
236,菠菜粉皮
237,姜汁奶(姜撞奶)
238,菊花鱿鱼
239,花生牛筋粥
240,红豆花生红枣粥
241,萝卜粥
242,老鸭绿豆汤
243,鳜鱼柠檬羹
244,黄瓜紫菜汤
245,酸奶油芝麻茄泥
246,杏仁蛋花糊
247,冬虫夏草羊肉汤
248,香菇豆腐笋
249,梅子蒸排骨
250,银耳杏仁鹌鹑汤
251,黄花菜炒黄瓜
252,荠菜鲈鱼羹
253,紫菜豆腐肉片汤
254,当归炖乌鸡
255,鳗鱼羹
256,蒜蓉苋菜牛肉汤
257,香蕉拌桃片
258,黄瓜海带泡菜汤
259,青椒魔芋丝
260,鲍鱼芦笋汤
261,白果莲子粥
262,凤梨饭
263,慈姑粥
264,樱桃百合
265,红扁豆粥
266,鱿鱼豆腐羹
267,海带丝汤
268,蜜奶芝麻羹
269,姜丝萝卜汤
270,炸番茄蛋饺
271,黄豆芽猪血汤
272,香蕉土豆泥
273,丝瓜蘑菇肉片汤
274,菊花黄鱼羹
275,山药茯苓果仁包
276,海带炖豆腐
277,奶油南瓜粥
278,柠檬鸡片
279,桂圆粥
280,柳橙风味白鱼肉
281,香蕉炒虾仁
282,荔枝汁
283,鲮鱼罐头
284,鸭肝浓香粥
285,荸荠炒冬菇
286,枣（鲜）
287,天麻鱼头粥
288,鸡血
289,使君子蒸猪瘦肉
290,杏仁白肺汤
291,冬瓜蒸饺
292,干豆腐拌黄瓜
293,牛肚粥
294,绿豆芽
295,拔丝空心小枣
296,炝冬笋油菜
297,子姜鸭脯
298,黑白木耳炖猪心
299,带鱼
300,莼菜羹
301,银耳芦笋
302,糖醋鲈鱼
303,百合鸡蛋黄汤
304,银耳甜蛋汤
305,煎藕饼
306,腊鸭肝(豉鸭肝)
307,鹌鹑红豆粥
308,海带粳米粥
309,强健骨骼豆腐丝瓜汤
310,豆浆南瓜汤
311,黄瓜饺
312,鸡肉蛋花木耳汤
313,油菜拌猪肝
314,果汁冻
315,龙眼莲藕汤
316,花芋烧猪蹄
317,荔枝带鱼
318,凉拌猪肝
