diseaseId,acompanyId
916,574
4991,60
4957,1693
2254,801
6364,1684
5345,2198
282,1748
21,32
1351,1846
1826,1782
8628,284
5775,486
2513,376
6834,2198
7122,307
538,709
7327,2058
1675,1140
7696,270
2970,2198
2970,1641
2970,403
2970,515
7953,300
339,637
3246,1048
8570,2069
5093,1641
7187,155
5006,270
5006,2005
5006,155
5542,1290
7157,332
8095,518
3333,60
3333,1638
3333,557
3333,32
3333,1290
3333,842
3333,2198
716,1052
6848,2013
1580,321
1580,449
1580,23
1149,1052
3232,486
4129,487
1061,664
4540,1151
8228,637
642,546
5812,2186
3777,2140
3777,140
3777,810
3777,1070
3777,663
4513,1793
2131,1151
5403,1638
5403,2198
5403,546
5403,449
5403,849
5403,849
5403,313
4467,637
157,1626
157,2198
157,664
7948,1026
1069,1619
1069,1437
1069,32
1069,384
1802,546
6559,1641
6559,321
4078,546
3340,511
3340,2074
3340,814
3340,725
3340,1782
3340,1793
3340,1638
3340,321
3340,1450
8661,842
8661,2198
8661,15
8661,2163
8661,465
4481,344
4481,317
4481,1684
4481,1611
4481,1782
4481,112
4481,1290
5109,1684
5109,132
5109,1293
5109,1675
2371,1639
28,1793
4401,411
490,1811
6493,33
7860,1626
5335,1254
8633,2164
7887,637
3329,2164
4873,1782
5129,1052
5129,1626
8620,32
3016,1290
1825,840
7425,637
4978,1436
7797,1179
4739,840
7182,1765
801,709
4257,270
3006,270
5930,1919
2026,1919
3377,396
7183,568
7183,403
7183,709
7183,1641
7183,332
8270,637
4451,1930
1917,1151
4501,2186
4501,1919
6032,637
3454,2198
8380,1782
8380,2198
8380,421
8380,709
8380,4
8212,578
4197,637
1506,449
5448,60
5448,1793
5448,321
5448,411
5448,2198
3360,1626
7980,2
8443,518
4332,1192
1054,637
2120,1368
2603,1619
2603,1290
2603,1793
2603,842
2603,1770
2603,785
2603,155
7521,1072
3748,637
3748,1676
7277,449
8180,1413
8180,2198
8180,403
8180,515
7897,1626
1290,1638
1290,1151
1290,32
1290,973
1290,403
2687,709
2687,60
2687,1813
2687,1151
2687,1401
2687,2198
2687,653
7938,486
3603,1891
6951,546
7072,1626
4405,1376
3896,1624
5665,504
6769,1652
1693,1290
4365,747
8026,842
4023,1664
6220,842
6220,873
6220,1262
6220,1467
2197,2071
3647,1337
5980,2071
4599,1627
6589,1930
4024,1930
1948,239
7802,1330
3345,862
2193,407
1963,1262
6289,1290
7333,557
2291,450
2291,1930
2291,785
5528,1827
5866,1337
5866,2071
5866,1151
5866,862
5866,1291
5866,1290
8224,842
2113,1290
604,239
604,1226
7148,1753
4054,1133
5071,20
6363,1290
6363,842
6363,1048
6363,1700
460,1290
460,1337
460,917
460,704
1798,1262
1798,1396
4595,2067
1477,908
4478,396
4478,1972
4478,1753
4478,130
4478,1566
8461,1580
652,239
652,842
652,33
652,1376
652,1290
652,1262
7839,1290
7839,776
7839,1048
7839,1337
5482,270
6598,842
6598,574
6598,2198
6598,715
6598,1290
6598,546
6598,23
6598,1286
6598,2152
7262,546
1670,1629
1952,1330
5256,896
403,1376
5904,1290
8320,973
5658,539
3214,704
1227,1819
1227,504
1227,842
1227,2198
1227,56
1906,842
1906,785
1244,966
8754,785
8754,956
8754,538
8754,1464
2920,1337
5948,1626
5948,849
5948,1254
5948,2005
5948,437
5948,1693
5948,2057
875,332
531,1782
6595,1846
6830,1638
6905,842
1957,332
3565,270
7547,1290
7547,546
7547,842
7547,1226
7547,1401
7547,1647
7547,1638
1874,1048
1874,360
1874,698
1874,1749
2870,1444
3822,1450
379,1408
22,1753
3017,768
6468,973
6468,1635
6337,239
7592,793
2780,747
5369,1753
1003,1911
1003,247
1003,793
6270,842
312,873
312,239
312,1290
312,1337
2827,504
1968,1467
1842,504
1288,650
2899,1832
2899,1466
2899,768
959,1098
2267,397
6597,842
3194,1048
2035,1052
6212,873
6212,1832
5367,1523
8734,1679
7689,1290
4085,518
5484,793
5484,1466
5484,857
3877,546
6447,546
4970,1337
4970,973
4970,946
693,1506
693,785
693,1463
693,1429
4822,384
683,1832
2071,398
2071,728
7177,75
7177,248
7177,546
7177,668
7177,1597
7247,1588
5555,384
2013,1337
764,407
764,1749
764,842
764,2162
764,239
764,1419
764,842
764,1725
4025,546
2439,1401
2395,1782
2702,43
2202,546
8678,674
3614,40
6658,134
2218,1376
4169,2094
5371,740
7662,1376
7142,849
24,279
5522,1315
5522,1627
5522,1524
5522,1621
5522,1254
5522,1793
5522,465
3106,232
2227,919
1953,1465
5364,546
5744,842
7041,1627
8386,130
329,1299
1234,2163
7574,279
2829,1857
7958,1071
5159,704
6542,2198
5358,279
6637,546
776,279
3245,1693
6527,420
6508,291
3144,1739
5819,2198
3670,518
5987,546
6964,1857
2209,814
2688,2062
2700,1052
1162,1418
6454,742
6938,990
7203,1837
136,279
7358,1052
7708,923
4196,1345
7178,990
6929,2177
5511,1481
6315,1693
7084,128
5745,92
4688,1215
6054,130
6418,515
757,2056
2285,2159
1879,2198
2592,1819
1199,1693
4692,1376
5810,2005
6065,1793
4500,546
8286,291
7019,1848
456,1443
5349,1693
7083,126
2081,785
7790,228
8107,746
8640,1611
168,956
409,1315
6409,1052
6112,1588
6893,546
4470,1146
100,546
5567,1443
4322,704
3079,185
3801,270
1442,1532
3831,546
215,2198
2270,546
6153,1739
1239,1442
396,546
6652,1638
6,1647
7155,781
7155,192
7155,1314
7155,1954
7155,1904
7155,882
3631,1376
4263,1972
6118,365
6118,1071
6118,1947
6118,1898
6118,869
6118,356
6118,1762
6118,982
6118,1725
6118,1000
166,416
166,546
166,1376
166,575
166,809
668,508
3279,1221
8641,1365
3050,1181
7355,1481
1175,222
557,1315
6480,2005
4190,508
2342,546
2194,546
1215,1817
7682,1257
8152,1693
4113,997
7894,183
7894,774
5301,326
8071,279
8553,102
8390,239
3695,1782
1427,222
5255,1627
6553,1627
4344,1364
3959,2200
6350,279
8272,1748
8272,377
8272,313
8272,1529
8272,1430
8272,2177
8272,270
8272,376
8272,1536
8272,411
8272,1782
3387,163
3502,990
8703,546
4205,279
2184,1290
341,1443
7686,1961
3028,313
1216,313
5974,1793
2545,102
6663,1497
3796,279
8179,313
5661,704
2337,1693
7902,313
5717,818
6818,313
1620,279
1620,1611
5168,546
8453,74
2576,230
3758,508
2353,1443
4403,1812
4634,1443
4316,736
8133,704
2562,1898
2673,849
8153,279
3146,270
4722,146
4722,43
4722,935
4722,99
4722,704
4722,1627
4722,1562
4722,2177
4722,279
4722,1481
3563,1021
891,1043
4406,164
4406,125
4406,546
4406,1368
4406,2005
4406,155
4406,814
4406,1782
