diseaseId,departmentTd
916,32
4991,33
4957,34
2254,32
6364,32
5345,33
282,32
21,32
1351,26
1826,34
8628,32
5775,32
2513,32
6834,32
7122,32
538,32
7327,32
1675,32
7696,32
2970,32
7953,32
339,32
3246,32
8570,32
5093,32
7187,32
5006,32
5542,49
7157,16
8095,32
3333,49
716,34
6848,32
1580,34
1149,34
3232,32
4129,32
1061,34
4540,32
8228,32
642,32
5812,32
3777,2
4513,32
2131,32
5403,32
4467,32
157,32
7948,29
1069,32
1802,34
6559,32
4078,32
3340,34
8661,32
4481,32
5109,32
2371,34
28,34
4401,12
490,32
6493,29
7860,29
5335,32
8633,49
7887,16
3329,16
4873,34
5129,32
8620,32
3016,32
1825,32
7425,32
4978,32
7797,32
4739,32
7182,12
801,33
4257,16
3006,33
5930,33
2026,33
3377,33
7183,32
8270,33
4451,33
1917,33
4501,33
6032,32
3454,33
8380,33
8212,12
4197,16
1506,32
5448,32
3360,32
7980,32
8443,32
4332,12
1054,29
2120,34
2603,34
7521,32
3748,5
7277,34
8180,32
7897,32
1290,32
2687,32
7938,17
3603,35
6951,35
7072,33
4405,16
3896,35
3251,16
5665,16
6769,17
1693,35
4365,35
8026,35
4023,18
6220,35
2197,16
3647,35
5980,35
4599,13
6589,16
4024,16
1948,16
7802,16
3345,16
2193,39
7086,35
1963,35
6289,35
7333,16
2291,35
5528,35
5866,16
8224,16
2113,35
604,35
7148,16
4054,17
5071,1
6363,16
460,35
1798,35
4595,35
1477,35
4478,35
8461,40
652,35
7839,35
5482,39
6598,35
7262,35
1670,17
1952,35
5256,16
403,35
5904,16
8320,16
5658,18
3214,16
1227,16
1906,34
1244,33
8754,22
2920,17
5948,29
1334,17
875,18
531,16
6595,13
6830,12
6905,35
1957,16
3565,35
7547,35
1874,35
2870,16
3822,33
379,33
22,16
3017,16
6468,12
6337,16
7592,16
2780,16
5369,17
1003,16
6270,35
312,35
2827,35
1968,35
1842,35
1288,35
2899,16
959,18
2267,48
6597,16
3194,35
2035,49
6212,16
5367,51
8734,17
7689,35
4085,48
5484,16
3877,16
6447,16
4970,16
693,16
4822,16
683,16
2071,35
7177,35
7247,18
5555,35
2013,35
764,35
4025,34
2439,9
2395,34
2702,42
2202,34
8678,42
3614,42
6658,42
2218,42
4169,42
5371,50
7662,42
7142,7
24,42
5522,34
3106,42
2227,42
1953,34
5364,34
5744,34
7041,34
8386,42
329,8
1234,42
7574,17
2829,42
7958,42
5159,42
6542,34
5358,17
6637,17
776,17
3245,18
6527,42
6508,42
3144,17
5819,34
3670,42
5987,42
6964,42
2209,42
2688,29
2700,17
1162,17
6454,42
6938,42
7203,21
136,42
7358,42
7708,42
4196,42
7178,21
6929,42
