diseaseId,checksId
916,1078
916,2298
916,843
4991,795
4991,1344
4991,1495
4991,980
4991,1665
4957,1495
4957,1960
4957,968
2254,2748
2254,1867
2254,2185
2254,960
2254,980
6364,1078
6364,433
6364,33
6364,1994
6364,1878
5345,2748
5345,1772
5345,710
5345,1078
282,2967
282,710
282,3253
21,674
21,690
21,1193
21,2876
21,710
21,894
21,1495
21,1600
1351,497
1351,1347
1351,1495
1826,1495
1826,2457
1826,776
1826,1403
1826,1284
1826,2915
1826,2605
1826,404
8628,710
8628,2628
5775,1841
5775,436
5775,710
5775,776
5775,134
5775,3171
2513,2628
2513,710
6834,1078
6834,843
6834,2298
7122,710
7122,1193
7122,2587
7122,1078
7122,1600
538,710
538,1694
538,814
538,1000
538,1495
7327,1117
7327,710
7327,1600
1675,1078
1675,646
1675,710
7696,710
7696,1495
2970,1117
2970,1460
2970,263
2970,414
2970,1984
2970,1358
2970,321
2970,2167
2970,983
2970,1994
7953,1600
7953,1605
7953,1495
339,1495
339,1694
339,2299
339,1427
339,2587
339,646
339,275
339,1078
3246,2167
3246,1477
3246,814
3246,1130
3246,2776
3246,1976
3246,2045
3246,2864
3246,9
3246,1840
8570,2628
8570,2457
8570,1841
8570,1605
8570,710
8570,2182
8570,2587
8570,1078
8570,2838
8570,1495
5093,710
5093,1078
5093,646
5093,2299
7187,710
7187,1885
7187,2039
7187,1117
5006,1665
5006,710
5006,2573
5006,1078
5006,1261
5542,1347
5542,1495
5542,764
5542,881
5542,2182
5542,843
5542,2163
7157,710
7157,2647
7157,2748
7157,275
7157,2628
7157,1078
8095,267
8095,2647
8095,1078
8095,710
8095,2628
3333,1078
3333,710
3333,684
3333,451
3333,1321
3333,843
3333,3245
3333,764
3333,829
3333,1704
716,3340
716,1078
716,3122
716,2057
716,2457
716,776
716,710
6848,2799
6848,1495
6848,2352
6848,1867
6848,2457
1580,2167
1580,776
1149,2167
1149,1236
1149,1495
1149,2168
1149,776
1149,2043
1149,899
1149,2572
1149,997
3232,776
3232,1841
3232,436
3232,3171
3232,134
4129,1694
4129,710
4129,1570
4129,657
4129,1218
4129,1977
1061,776
1061,357
1061,1495
1061,3246
1061,3122
1061,2821
1061,520
4540,1078
4540,843
8228,2182
8228,1694
8228,1078
8228,710
8228,312
642,1694
642,1078
642,710
642,1977
642,929
642,1290
642,830
642,1942
642,44
642,2511
5812,1078
5812,1605
5812,2628
5812,2647
5812,710
5812,1600
3777,1643
3777,460
3777,497
4513,2167
4513,3059
4513,2742
4513,1570
4513,1977
2131,1078
2131,1117
2131,843
2131,270
2131,2831
2131,710
2131,2967
2131,2647
5403,1078
5403,1495
5403,980
5403,776
5403,710
5403,2457
5403,1942
5403,2628
4467,1078
4467,2975
4467,710
4467,1878
4467,1994
157,1078
157,1495
157,959
157,710
157,2457
157,776
157,2628
157,980
7948,2941
7948,1078
7948,2411
7948,710
7948,1495
7948,434
7948,1605
7948,2628
1069,710
1069,1078
1069,2628
1069,2731
1069,1600
1069,1193
1802,2167
