diseaseId,drugId
4991,577
4991,3300
4957,675
4957,2586
2254,607
2254,693
6364,160
6364,2120
282,2154
282,817
21,3140
21,1414
1351,916
1351,1498
1826,675
1826,2586
8628,2867
8628,1569
5775,2186
5775,3065
2513,3431
2513,1452
7122,3140
7122,1414
538,3140
538,1414
7327,2243
7327,3208
7696,1414
7696,1091
2970,1387
2970,3689
7953,108
7953,3643
339,1765
339,451
3246,1655
3246,2472
8570,1414
8570,2720
7187,3689
7187,672
5006,100
5542,2693
5542,2243
7157,1634
7157,12
8095,2590
8095,2513
3333,2371
3333,2195
716,74
716,675
6848,3386
6848,2818
1580,3070
1580,160
1149,2854
1149,1250
3232,2186
3232,3065
4129,3140
4129,1414
1061,675
1061,2586
8228,1020
8228,3030
642,3296
642,103
5812,3101
5812,2085
3777,916
3777,1498
4513,3296
4513,103
2131,3431
2131,1452
5403,2506
5403,2110
4467,189
4467,1152
157,2506
157,2110
7948,3359
7948,3801
1069,2470
1069,1195
1802,675
1802,2586
6559,3140
6559,1414
4078,3643
4078,262
3340,74
3340,675
8661,2391
8661,1353
4481,175
4481,3386
5109,108
5109,3643
2371,74
2371,675
28,74
28,675
4401,2455
4401,709
490,839
6493,3357
6493,1819
7860,2248
7860,959
5335,2154
5335,12
8633,1516
8633,1710
7887,15
4873,538
4873,1941
5129,2154
5129,12
8620,108
8620,3643
3016,762
3016,1415
1825,2286
1825,42
7425,1020
7425,3030
4978,1535
4978,108
7797,2286
7797,42
4739,108
4739,3643
7182,2721
7182,1540
801,1473
801,1181
4257,3296
4257,3038
3006,901
3006,2638
5930,901
5930,2138
2026,1671
2026,930
3377,3334
3377,312
7183,2900
7183,3359
8270,3558
8270,2069
4451,3019
4451,2742
1917,15
4501,1671
4501,930
6032,527
6032,3689
3454,3689
3454,2891
8380,901
8380,2441
8212,1181
8212,2967
1506,3030
1506,2154
5448,2471
5448,3030
3360,3140
3360,1414
7980,2154
7980,817
8443,1902
8443,1188
4332,1181
4332,1473
1054,3359
1054,3801
2120,74
2120,675
2603,672
2603,3400
7521,2952
7521,2089
7277,3630
7277,741
8180,1387
8180,3689
7897,2721
7897,2089
1290,1517
1290,3643
2687,2721
2687,693
7938,1020
7938,320
3603,1593
3603,316
6951,3423
6951,3044
7072,3222
7072,2268
6769,736
6769,2077
1693,3225
1693,736
8026,24
8026,2310
6220,2624
4599,3393
4599,121
4024,2624
2193,2089
2193,3822
1963,2329
6289,482
6289,3226
2291,1741
2291,3430
5528,1741
5528,3430
2113,2089
2113,965
604,2448
604,283
6363,1884
6363,1655
1798,3596
1798,1129
4595,2521
4595,1480
1477,1867
1477,3436
4478,1536
8461,2798
8461,3055
652,1442
