diseaseId,symptomId
916,2538
916,110
916,4111
916,3492
916,3855
4991,5357
4991,928
4991,3262
4991,1107
4991,3216
4991,3497
4991,3625
4991,5761
4957,4975
4957,3216
4957,196
2254,4769
2254,1169
2254,1563
2254,359
2254,142
2254,1922
2254,4591
2254,1079
6364,4111
6364,2538
6364,1181
5345,2843
5345,4111
5345,652
5345,5436
5345,4555
5345,3846
5345,5150
282,737
282,1163
282,799
282,4698
282,3262
282,3492
21,1368
21,110
21,2822
21,2966
21,5340
21,119
1351,3567
1351,818
1351,2623
1351,1004
1351,1973
1351,4975
1351,1215
1351,853
1351,3832
1826,5482
1826,2360
1826,3283
1826,3222
1826,2384
1826,1226
1826,4975
1826,196
8628,3092
8628,3377
8628,3492
8628,3608
5775,3089
5775,4111
5775,3874
5775,3247
5775,3608
5775,5987
2513,2106
2513,4863
2513,3874
2513,3092
2513,3492
2513,3497
6834,110
6834,2538
6834,4111
6834,5610
6834,1873
6834,3492
6834,3608
7122,5352
7122,737
7122,110
538,5311
538,97
538,110
538,3497
7327,3125
7327,2109
1675,3262
1675,3247
1675,799
1675,3608
7696,901
7696,915
7696,110
7696,3608
2970,766
2970,1839
2970,4805
2970,1756
2970,2274
2970,3262
2970,5757
2970,2109
2970,119
7953,4132
7953,110
7953,5150
7953,3608
339,110
339,567
339,4790
339,1756
339,2274
339,901
339,3744
339,5247
339,5333
339,306
3246,2061
3246,110
3246,4111
3246,3874
3246,4668
3246,1266
3246,5361
3246,4090
3246,4587
3246,1194
8570,3099
8570,1388
8570,4111
8570,915
8570,3083
8570,2191
8570,3796
8570,2966
8570,5685
8570,4587
5093,3262
5093,3247
5093,4111
5093,799
7187,1368
7187,1400
7187,5562
7187,4111
7187,2609
7187,1184
7187,1838
7187,2056
7187,1308
5006,4132
5006,3796
5006,4111
5006,3492
5542,463
5542,4111
5542,5553
7157,110
7157,3497
7157,3874
8095,5553
8095,2376
8095,3125
8095,4111
8095,3497
8095,3608
3333,5127
3333,1225
3333,830
3333,1756
3333,901
3333,3570
3333,3608
3333,1389
716,5127
716,4111
716,4389
716,3377
716,5436
716,3492
716,5685
716,4975
716,33
716,2056
6848,2932
6848,479
6848,1627
6848,2822
6848,2824
6848,2599
6848,1004
6848,5685
6848,5989
1580,639
1580,4684
1580,1680
1580,1520
1580,184
1580,4917
1580,4396
1580,5685
1580,49
1580,3532
1149,5089
1149,1670
1149,4692
1149,207
1149,3137
1149,1929
1149,3532
3232,3089
3232,409
3232,4111
3232,2517
3232,3874
3232,3247
3232,2041
3232,3608
3232,114
3232,5987
4129,743
4129,4111
4129,359
4129,2664
4129,3247
4129,3492
4129,1922
4129,5361
4129,1079
1061,1248
1061,3377
1061,4541
1061,171
1061,5664
1061,3064
1061,4975
1061,4373
1061,219
4540,392
4540,448
4540,5094
4540,5537
4540,2316
4540,5497
4540,5150
8228,4896
8228,110
8228,5452
8228,2698
8228,4250
8228,3874
8228,97
642,3055
642,5452
642,4111
642,3137
642,5537
642,3591
642,1838
642,5150
642,4867
5812,2161
5812,4111
5812,1004
5812,3608
3777,1041
3777,5831
3777,3289
4513,3055
4513,1422
4513,5452
4513,3302
4513,5762
4513,4111
