aliasID,aliasName
0,喉粘膜急性卡他性炎症
1,小儿威尔逊氏变性
2,小儿瞬目-点头-跌倒发作
3,隐匿性肾小球肾炎
4,病理性近视的眼底损害
5,生殖腺发育不全
6,足球踝
7,血管内皮肉瘤
8,德戈斯氏综合征
9,肺原性心脏病
10,遗传性甲骨萎缩病
11,外阴角质蛋白囊肿
12,儿童社会功能障碍
13,白色糠疹
14,布-马二氏综合征
15,米勒链球菌肺炎
16,克雷伯菌属感染
17,小儿脑底动脉闭塞伴毛细血管扩张
18,恶性疟
19,性发育迟缓
20,重型乙型肝炎
21,假单胞菌性肺炎
22,小儿Goldenhar综合征
23,脐突出
24,局灶性蜂窝织炎
25,卡波氏肉瘤
26,伤风
27,老年自发性气胸
28,勃起不足
29,小儿KDS综合征
30,外阴慢性单纯苔藓
31,血紫质病性外周神经病
32,基膜性肾小球肾炎
33,艾滋病相关肾病
34,红痛病
35,大田原综合征
36,α-储存池病
37,遗传性舞蹈病
38,歪嘴巴
39,结肠小袋纤毛虫病
40,获得性免疫缺陷综合征
41,医院内坏疽
42,侵袭性软骨样汗管瘤
43,白细胞组织增生症视网膜病变
44,预防接种后脑脊髓炎
45,急性髓细胞性白血病
46,老年胆囊炎
47,克拉贝病
48,鸟疫衣原体肺炎
49,蝶骨硬脑脊膜瘤的眼眶病变
50,脂肪肉芽肿
51,草莓状血管瘤
52,重症甲状旁腺功能亢进症
53,恶性泪腺混合瘤
54,肺动脉血压过高
55,老年低钙血症
56,老年人恶性甲状腺肿
57,出血性大疱性鼓膜炎
58,胰腺恶性病变综合征
59,急性热病
60,睡眠呼吸紊乱
61,血清性肝炎病毒性关节炎
62,脐部卵黄管息肉
63,小儿脑性麻痹
64,感应性精神病
65,嗜酸性筋膜炎
66,小儿传染病后脑脊髓炎
67,α-贮存库病
68,假腺鳞癌
69,睾丸旁肿瘤
70,小儿超敏感性肺炎
71,小儿布-马二氏综合征
72,杜林病
73,叶酸缺乏
74,家族性肾性尿崩症
75,马尔他热
76,老年人急进性肾小球肾炎
77,土拉伦斯菌病
78,迟发性尺神经炎
79,血紫质病
80,特发性延迟性青春期
81,闭经-泌乳综合征
82,继发性单克隆免疫球蛋白血症
83,小儿播散性糖原累积性心脏肥大
84,中颅窝硬脑脊膜瘤
85,小儿急性上呼吸道感染
86,妊娠咳嗽
87,暑湿感冒
88,蓄血病
89,良性成脂细胞瘤
90,猪包囊虫病
91,花粉变应性哮喘
92,类风湿性脊椎炎及其伴发的色素膜炎
93,染发性皮炎
94,佩吉特骨病
95,超敏感性肺炎
96,小儿枫糖尿症
97,小儿不对称身材-矮小-性发育异常综合症
98,外阴神经内分泌癌
99,宫外孕
100,特异性进行性色素性皮病
101,儿童抽动症
102,壁间血肿
103,严重急性呼吸综合症
104,小儿免疫球蛋白a肾病
105,脚癣
106,幽门螺旋杆菌感染
107,肺动脉高压症
108,脉络膜黑瘤
109,焦磷酸性关节病
110,Segawa病
111,肺感染
112,淋巴网状细胞增多症性高γ球蛋白血症
113,小肠炎
114,老年霍奇金淋巴瘤
115,血小板第3因子缺陷症
116,小汗腺腺囊瘤
117,小儿先天性中性粒细胞减少症
118,第五种病
119,解颅
120,肾动脉静脉瘘
121,肝脏错构瘤
122,小儿5P-综合征
123,前眼色素层炎
124,皮翻症
125,皮肤肉瘤样纤维瘤
126,习惯性交叉擦腿综合征
127,胃切除后吸收不良综合症
128,梅干腹综合征
129,老年期前收缩
130,妊娠合并肺动脉栓塞
131,小儿Debre-Semelaigne综合征
132,胰腺结石
133,肾水
134,肉芽肿性肠炎
135,小儿Wissler综合征
136,出血败血性巴斯德氏菌
137,小儿浓眉-小头-短肢综合征
138,贾第鞭毛虫病
139,绞刑架骨折
140,斑状白化病
141,痹症
142,柠檬酸细菌肺炎
143,先锋头
144,Schaumann良性淋巴肉芽肿病
145,单纯红细胞再生障碍
146,真性失盐性肾炎
147,动脉性痣
148,趾断症
149,妊娠合并生殖道沙眼衣原体感染
150,Kohler病
151,前色素层炎
152,后壁穿通性溃疡
153,全身发作
154,假性Marfan综合征
155,男子女性型乳房
156,小儿变态反应性鼻炎
157,充血性胃病
158,先天性泪道阻塞
159,外阴黑素瘤
160,慢性积脓
161,垂帘障
162,Garre's病
163,皮肤嗜酸细胞性肉芽肿
164,脾脏外伤-脾破裂
165,晶状体过敏性眼内炎继发性青光眼
166,急性间质性肾炎
167,移植后淋巴增生性障碍
168,结节性假肉瘤性筋膜炎
169,波尔加热
170,钙化性胆囊
171,酒依赖综合征
172,小儿慢性肾炎
173,色觉障碍
174,特发性肺纤维变性
175,小儿系统性弹力纤维病
176,色素绒毛结节性滑膜炎
177,华氏巨球蛋白血症
178,副球孢子菌性肉芽肿
179,新生儿急性坏死性小肠结肠炎
180,伴多发性血管瘤的软骨发育不良
181,小儿糖原心综合征
182,小儿诺伊曼综合征Ⅱ
183,指甲下外生骨疣
184,颅后窝室管膜细胞瘤
185,复发性口疱
186,黑子
187,药物性紫癜
188,粒单核细胞白血病
189,红疹
190,老年人充血型缺血性心肌病
191,急性颈部软组织损伤
192,密集事物恐惧症
193,Piedmont骨折
194,静脉旁色素性脉络膜视网膜变性
195,范科尼综合症
196,老年人自发性血小板增多
197,小儿大骨节病
198,急性乳房炎
199,巴洛氏综合征
200,中耳炎
201,过熟儿
202,第五病
203,唇舌水肿及面瘫综合症
204,异位性皮炎
205,狭颅症
206,多乳头症
207,新生儿弓形虫病
208,Oddi括约肌闭锁不全
209,男性假两性同体
210,IPF
211,颅内静脉窦闭塞性颅内高压
212,先天性皮肤缺陷
213,西-科二氏综合征
214,阴道颗粒细胞肉瘤
215,非典型黄色瘤
216,猝死型冠心病
217,黑色小孢子菌病
218,长期卧床
219,漏斗状胸
220,血友病A
221,血脱
222,乳疬
223,消耗性心内膜炎
224,终末细支气管远端部分慢性支气管炎
225,革兰氏阳性球菌和革兰氏阴性杆菌性巩膜炎
226,氨基酸尿症
227,普通粉刺
228,胃食管反流病
229,成人肥厚性幽门狭窄症
230,脾性贫血
231,心境障碍
232,亚牛痘疹
233,人类免疫缺陷病毒所致色素层炎
234,脊髓硬膜A
235,老年低血糖昏迷
236,老年恶性心包积液
237,老年阵发性室上性心动过速
238,外阴汗腺腺瘤
239,基底细胞恶性变
240,流行性感冒肌炎
241,外侧壁骨
242,老年心力衰竭
243,恶性骨肿瘤
244,遗传性多梗死性痴呆
245,复发性多发软骨炎伴发的色素膜炎
246,小儿肾上腺性变态征
247,老年人应激性结肠综合征
248,部分性白化病
249,小儿胆汁淤积综合征
250,老年糖尿病肾病
251,小儿伴有明显吞噬血细胞现象的全身性组织细胞增多症
252,新生儿发绀
253,新生儿巨细胞包涵体病
254,应激性溃疡
255,胎粪吸入综合症
256,先天性钙化性软骨营养障碍
257,变应性支气管肺曲霉病
258,沙虱热
259,里德利综合征
260,老年上消化道出血
261,心脏神经症
262,嗜皮菌症
263,继发性肝癌
264,眼拟组织胞质菌病综合征
265,房性过早搏动
266,眼睑疮疡
267,眼脑脊髓病
268,小儿印度痘
269,小儿Christian综合征
270,主动脉夹层动脉瘤
271,Addison病
272,喉炎
273,小儿高尿酸血症
274,蜘蛛状毛细血管扩张症
275,小儿窦速
276,窦房结折返性心动过速
277,巨细胞性动脉炎性巩膜炎
278,水中毒
279,小儿白细胞粘附缺陷Ⅰ型
280,药源性鼻炎
281,小脑扁桃体疝
282,对称性硬化性厚骨症
283,月痨
284,小儿古-豪二氏综合征
285,家族性秃发
286,小儿低铁性贫血
287,男性型秃发
288,绝经抑郁症
289,卵巢燕麦形细胞癌
290,进行性RPE营养不良性变性
291,高海拔红细胞增多症
292,腹腔内卒中综合征
293,呆钝窦房结综合征
294,偏头风
295,淋巴肉芽肿X
296,普氏立克次氏体肺炎
297,粟粒狼疮样结核症
298,妊娠高血压综合征眼底病变
299,浆细胞骨髓瘤
300,烟酸缺乏神经系统表现
301,单纯性假丝酵母菌外阴阴道炎
302,脑垂体瘤
303,腭裂-小颌畸形-舌下垂综合征
304,丙型肝炎
305,新生儿弓形虫综合征
306,小儿Sprinz症
307,支气管扩张症
308,遗传性运动失调性多神经炎
309,肾血管平滑肌脂肪瘤
310,老年肺结核病
311,老年人糖尿病性酮症酸中毒
312,妊娠瘙痒性荨麻疹性丘疹及斑块
313,不全牙裂
314,胸骨后疝
315,横膈麻痹
316,小儿败血症休克
317,激素敏感性NS
318,食物诱发哮喘
319,小儿共济失调毛细血管扩张综合症
320,新生儿低血糖巨内脏巨舌小头综合征
321,后颅窝血肿
322,小儿迪乔治综合征
323,痛性抽搐
324,MENS-Ⅰ型
325,杆菌性血骨病
326,耻骨骨炎
327,扁平髋
328,皮赘
329,脑膜炎双球菌肺炎
330,小儿Kasabach-Merritt综合征
331,小儿慢性再生低下性中性粒细胞减少症
332,老年人尿毒症肺
333,外源性高三酰甘油血症
334,良性间叶黑色素瘤
335,小儿许兰-亨诺血管炎
336,小儿疫苗后脑脊髓炎
337,小儿家族性低磷血症
338,出血败血性巴杆菌
339,小儿非对称性哭泣面容
340,喉梗阻
341,外阴网状细胞肉瘤
342,韧带样纤维瘤
343,汗斑
344,巴-希二氏综合征
345,连圈状糠秕疹
346,遗传性非溶血性高胆红素血症
347,喉膨出
348,地方性心肌病
349,小儿高安动脉炎
350,恶性瘤所致贫血
351,赤脉如缕
352,头部鳞癌
353,医院坏死
354,瘊子
355,老年人胃腺癌
356,小儿生殖细胞性肿瘤
357,妊娠合并甲旁亢
358,癫痫发作与癫痫综合症
359,慢性化脓性胸膜炎
360,小儿FanconiⅡ综合征
