"diseaseID","disease_name","part","age","infect","insurance","department","checklist","treatment","drugs","period","rate","money"
1,阳痿,阴茎,成年男性,无传染性,非医保疾病,男科 生殖健康,外生殖器检查 前列腺B超 阴茎超声检查 泌乳素分泌抑制试验 泌乳素兴奋试验 [详细],药物治疗、心理治疗 ,枸橼酸西地那非 枸橼酸西地那非 他达拉非片,1-2个月,85%(一般经过有效治疗后可以缓解症状),nan
2,乙肝,肝,所有人群，主要见于青少年，绝大多数为10~30岁,有传染性,非医保疾病,传染科 肝病,乙肝病毒学指标 凝血酶原时间 乙肝两对半 血清白蛋白与球蛋白比值 血清HBsAg免疫复合物 血清前S1蛋白 血清前S2蛋白 血清抗前S2蛋白 血清免疫球蛋白M 血清乙肝表面抗体 [详细],药物治疗、饮食疗法 ,恩替卡韦分散片 碧云砂乙肝颗粒 注射用盐酸精氨,3-6月,0.00%,市三甲医院约（3000 —— 8000元）;
3,癫痫,颅脑,所有人群,无传染性,医保疾病,神经内科,贝美格诱发试验 头颅平片 MRI 脑电图 脑血流灌注断层显像 [详细],药物治疗 ,普瑞巴林胶囊 奥卡西平片 左乙拉西坦片,>120天(需要终身治疗),暂无相关资料,市三甲医院约（3000 —— 8000元）
4,月经不调,卵巢 子宫,女性，压力过大型，怕冷型，虚弱型，贫血型,无传染性,非医保疾病,妇科,盆腔和阴道B超 宫颈癌筛查 妇科B超 宫腔镜 宫颈活检 [详细],药物治疗 ,定坤丹 加味益母草膏 艾附暖宫丸,1-2个月,69%,市三甲医院约（2000 —— 5000元）
5,颈椎病,脊柱,中、老年人 40岁以上,无传染性,医保疾病,骨科 神经内科,颈部活动度 椎间孔挤压试验 颈项强直 臂丛牵拉试验 [详细],药物治疗、理疗、手术治疗、中医针灸治疗 ,消痛贴膏 颈腰康胶囊 颈复康颗粒,3-6个月,50%,nan
6,腰肌劳损,腰部,长期保持坐姿者，中老年人,无传染性,医保疾病,外伤科 骨科,腰背部检查 脊柱压痛与叩击痛 拾物试验 腰背痛体格检查 [详细],药物治疗、物理治疗、手术治疗 ,腰痛宁胶囊 腰息痛胶囊 消痛贴膏,4周,80%,市三甲医院约（1000 —— 3000元）
7,尿路感染,阴茎 尿道,育龄女性及绝经后妇女糖尿病及高龄，免疫缺陷,无传染性,医保疾病,泌尿外科,肾脏B超 放射性核素肾图 逆行肾盂造影 泌尿系统CT 尿路平片 [详细],药物治疗 ,盐酸左氧氟沙星 盐酸头孢他美酯 注射用盐酸左氧,2周,90%,市三甲医院约（500-1000元）
8,股骨头坏死,大腿 下肢骨,中老年人,无传染性,医保疾病,骨科 中西医结合科,四肢的骨和关节平片 骨与关节MRI 4字试验 骨关节及软组织CT [详细],西医治疗、中医治疗、手术治疗 ,通络生骨胶囊 硫酸氨基葡萄糖 活血健骨片,30-100天,20%,据不同医院，收费标准不一致，市三甲医院约（5000 —— 8000元）
9,精神分裂症,心理,青壮年，自卑者，工作压力大，抑郁的人大部分都会,无传染性,医保疾病,精神病科,正电子发射计算机断层扫描 颅脑MRI SPECT显像 脑代谢显像 脑蛋白质代谢显像 [详细],药物治疗 ,盐酸三氟拉嗪 盐酸氟奋乃静片 卡马西平片,30天,10%,市三甲医院约（10000-50000元）
10,早孕反应,全身,妊娠早期孕妇,无传染性,非医保疾病,产科,尿酮体试验 尿酮体 产科B超 尿HCG 早孕试纸 [详细],药物治疗 ,叶酸片 嗣育保胎丸 胎宝胶囊,7-14天,95%,nan
11,食道癌,食管,中老年人群,无传染性,医保疾病,肿瘤科 消化内科,胃部检查 上消化道功能测定和显像 色素内镜检查 血清肿瘤特异性生长因子 多药耐药基因 [详细],手术治疗、放化疗 ,云芝糖肽胶囊 复方天仙胶囊 去甲斑蝥素片,1-3个月,3%,nan
12,麦粒肿,眼,青年人,无传染性,医保疾病,眼科 中医科,nan,药物治疗、手术治疗 ,复方磺胺甲噁唑 头孢克洛干混悬 熊胆黄芩滴眼液,3-7天,98%,nan
13,鼻咽癌,鼻,中年人群,无传染性,医保疾病,肿瘤科 耳鼻喉科,颅底片 全身显像 鼻咽部MRI 正电子发射计算机断层扫描 血清EB病毒抗体 [详细],放射治疗、手术治疗 ,平消胶囊 鼻咽灵片 转移因子口服溶,1-3个月,10%,nan
14,急性胰腺炎,胰腺,所有人群，发生于妊娠的任何时期以妊娠晚期及产褥期较多。,无传染性,医保疾病,消化内科 肝胆外科,血清淀粉酶同工酶 血清脂肪酶 血清抗胰腺腺泡抗体 血清胰癌胚抗原 血清胰腺特异性抗原 [详细],药物治疗、手术治疗 ,清胰利胆颗粒 醋酸奥曲肽注射 醋酸奥曲肽注射,nan,80%,nan
15,胆囊炎,胆,肥胖且多次妊娠的妇女,无传染性,医保疾病,肝胆外科 消化内科,胆道镜 胆囊胆道B超 肝脏及胆囊叩诊 肝、胆、脾CT 血清异枸橼酸脱氢酶 [详细],药物治疗、手术治疗 ,盐酸左氧氟沙星 盐酸米诺环素胶 盐酸左氧氟沙星,14--30天,90%,nan
16,地中海贫血,血液血管,所有人群，婴幼儿,无传染性,医保疾病,血液科 儿科,Hb-F碱变性试验 骨髓象分析 异常红细胞形态 红细胞检查 红细胞渗透脆性试验 [详细],药物治疗 ,鱼鳞病片 参一胶囊 康逆胶囊,1---3个月,30--60%,nan
17,子宫内膜癌,子宫,围绝经期和绝经后女性,无传染性,医保疾病,肿瘤科 妇科,生殖系统肿瘤检查项目 子宫颈涂片测试 子宫内膜活检 子宫输卵管造影 p53基因 [详细],药物治疗、手术治疗 ,金鸡颗粒 金鸡片 金鸡胶囊,1-3个月,40%,nan
18,动脉硬化,血液血管,青少年时期发生，中老年时期加重、发病,无传染性,医保疾病,心血管内科 心胸外科,大生化检查 血流变学检查 动脉听诊 动脉血气分析 PaO2 [详细],药物治疗 ,活血通脉片 复方氨基丁酸维 长春胺缓释胶囊,3个月,70%,市三甲医院约（3000 —— 5000元）
19,扁平疣,皮肤,儿童青少年，亦常见于成人。,有传染性,医保疾病,皮肤科 中医科,nan,药物治疗、手术治疗 ,转移因子胶囊 十三味菥蓂丸 五妙水仙膏,28--42天,98%,市三甲医院约（300 —— 500元）;
20,神经衰弱,全身,16到40岁，脑力劳动者多见,无传染性,医保疾病,神经内科 心理咨询,心电图 脑电图 肌电图 脑多普勒超声 [详细],药物治疗、情绪疗法 ,天麻素胶囊 泻肝安神丸 益脑胶囊,120天,20%(一般在正规综合三甲医院的典型病例治愈,市三甲医院约（1000 —— 3000元）
21,尿道炎,尿道,所有人群，多见于女性,无传染性,医保疾病,肾内科 泌尿外科,阴道毛滴虫检查 眼标本的细菌学检查 尿道口检查 尿道分泌物检查 尿常规 [详细],药物治疗 ,复方石韦颗粒 磷霉素氨丁三醇 解毒通淋丸,15-30天,95%,市三甲医院约200--500元
22,性欲亢进,全身,中年，青年较多发,无传染性,非医保疾病,生殖健康 心理咨询,颅脑CT 性激素六项 [详细],心理治疗、药物治疗 ,抑亢丸 甲亢灵胶囊 甲亢灵颗粒,1-2个月,70-80%,nan
23,哮喘,肺,所有人群,无传染性,医保疾病,呼吸内科 中医科,动脉血气分析 肺功能 PaO2 皮肤划痕试验 皮内试验 [详细],药物治疗 ,盐酸氨溴索片 胆茶碱片 曲尼司特胶囊,15天(国内最认可的有效治疗手段的该病治疗,80%(当今的治疗手段可使接近80%的哮喘患者,市三甲医院约（5000-10000元）
24,尿毒症,肾,中老年人群,无传染性,医保疾病,肾内科,氨基酸 阴离子隙 尿常规 血液生化六项 放射性核素肾图 [详细],保守疗法、血液透析、腹膜透析、肾移植 ,复方α-酮酸片 吗替麦考酚酯胶 他克莫司胶囊,6个月,10%(治疗后80%可以好转),市三甲医院约（50000-100000元）
25,流产,子宫,孕龄女性，怀孕准妈妈,无传染性,医保疾病,产科,阴道细胞学检查 盆腔和阴道B超 阴道镜 阴道分泌物涂片 缩宫素激惹试验 [详细],手术治疗 ,孕康颗粒 注射用绒促性素 维生素E软胶囊,7-30天,80%,nan
