肺泡蛋白质沉积症,约3个月
百日咳,1-2个月
苯中毒,根据不同病情一般为2-4周
喘息样支气管炎,6-12个月
成人呼吸窘迫综合征,2-4月
大量羊水吸入,1-3周
单纯性肺嗜酸粒细胞浸润症,3-6周
大叶性肺炎,7--10天
大楼病综合征,10天
二硫化碳中毒,1-2个月
肺-胸膜阿米巴病,2周--2月
肺出血－肾炎综合征,10-30天
肺放线菌病,2-12月
肺泡蛋白沉着症,10-30天或更长
肺曲菌病,3-6月
放射性肺炎,3个月
肺念珠菌病,2-6周
肺大疱,2-4周
肺炎球菌肺炎,1个月
肺气肿,120天
肺炎杆菌肺炎,7-21天
肺脓肿,8-12周
肺栓塞,1个月
肺炎,7-10天
肺大泡,1-3个月
肺水肿,3-6周
非典,1-3月
肺转移瘤,1-2个月
肺炎性假瘤,手术治疗周期7天
肺隐球菌病,治疗周期7天
肺癌,1-4个月
镉中毒,3-6个月
感冒,7-14天
感染性休克,根据病情而定
过敏性休克,根据具体情况而定
Goodpasture综合征,6-12周
过敏性肺炎,7-14天
汞中毒,10天
呼吸道异物,1个月
呼吸性细支气管相关的间质性肺疾病,2--4周
呼吸衰竭,1周-2个月
呼吸道合胞病毒肺炎,14--21天
减压病,1--3周
急性呼吸衰竭,1-2个月
急性肺脓肿,4-6周
军团病,2-3周
急性呼吸窘迫综合征,1-3个月
军团菌病,7天
结核性脓胸,2-4月
金黄色葡萄球菌肺炎,治疗周期14天
咖啡因与氨茶碱中毒,1-3周
卡氏肺囊虫肺炎,3个月
咯血,7-14天
硫化氢中毒,1-3个月
老年肺炎,1-2周
流行性感冒,14天
免疫缺陷者肺炎,原发病不同治疗周期不同
镍中毒,3个月
铍中毒,根据不同情况一般为3-6个月
缺血缺氧性脑病,3个月
气胸,15天
球孢子菌病,8-12周
禽流感,7-14天
迁延性肺嗜酸粒细胞浸润症,3-6个月
气管肿瘤,4-8周
气管先天性疾病,3-5个月
气管、支气管狭窄,8-12周
乳酸性酸中毒,1-4周
热带性肺嗜酸粒细胞浸润症,3-6个月
手术后和创伤后肺炎,14天
鼾症,3-6个月
特发性肺纤维化,1-3个月
脱屑性间质性肺炎,2个月
特发性阻塞性细支气管炎伴机化性肺炎,10-30天
特发性含铁血黄素沉着症,病程不一致，有些病例可自发缓解
外源性过敏性肺泡炎,3个月
小儿结核病,6-12个月
新生儿呼吸窘迫综合征,2-4月
吸入性损伤,7-14天
小儿金黄色葡萄球菌肺炎,4-8周
小儿急性支气管炎,1-2周
小儿流行性感冒,治疗周期5-10天
小儿急性喉炎,7天
矽肺,1-3年
新生儿窒息,1-2周
小儿支原体肺炎,2-3周
新生儿肺不张,1-3天
小儿感冒,7--14天
哮喘,15天
小儿哮喘,3个月
小儿肺炎,2-3周
新生儿呼吸暂停,2周
先天性肺囊肿,2-4月
休克型肺炎,7-14天
吸入性肺炎,1周-1月
腺病毒肺炎,10-30天
哮喘性肺嗜酸粒细胞浸润症,4-8周
细菌性肺炎,治疗周期7天
新生儿湿肺,2-5天
胸壁结核,2-4个月
乙醚中毒,7-10天
淹溺,根据救治的及时性而定
衣原体肺炎,2-4周
羊水与胎粪吸入综合征,1-2周
一氧化碳中毒,根据不同情况，一般为7-14天
阻塞性肺气肿,1-3个月
支原体肺炎,6-8周
支气管扩张,2-3月
支气管肺炎,10-20天
变应性血管炎,2-4年
病毒性心肌炎,3-6个月
病态窦房结综合征,1-2个月
川崎病,6-8周
穿透性心脏外伤,30天
窦性停搏,3-6周
单心室,1-3个月
单心房,终身治疗
单纯性下肢静脉曲张,2~3周
动脉硬化,3个月
动脉导管未闭,1个月左右
窦性心动过速,3天-30天
动脉瘤,3--8周
二尖瓣关闭不全,2-4月
二尖瓣狭窄,3个月
二尖瓣脱垂综合征,2-3月
二尖瓣环钙化,2-3个月
肺性脑病,10-30天
风湿性二尖瓣狭窄,15天
风湿性二尖瓣关闭不全,2-3月
肥厚型梗阻性心肌病,1-2个月
房室管畸形,4-6周
法洛四联症,14天
风湿热,视情况而定，最长可达10年以上
肺动脉口狭窄,1-2月
肥厚型心肌病,20天
房室传导阻滞,30天
肺动静脉瘘,1-2个月
高血压危象,长期服药治疗
高血压,1-3个月
冠状动脉终止异常,2-4周
冠状动脉异位起源,3-5周左右
感染性心内膜炎,4-6周
冠心病,长期服药治疗
后天性三尖瓣关闭不全,2-4个月
后天性动静脉瘘,手术治疗周期14天
间歇性眼球突出症,10-30天
急性心肌梗死,3-6周
酒精性心肌病,3-5个月
急性心功能不全,1-2个月
急性感染性心内膜炎,4-6周
急性心包炎,4周
急性心力衰竭,4-6周
甲亢,3-12月
扩张型心肌病,终身治疗
克山病,10-30天
雷诺病,3个月
慢性肺源性心脏病,长期服药
缺血性心肌病,1-3个月
四肢血栓性浅静脉炎,3个月
三尖瓣下移畸形,3-5周左右
三尖瓣狭窄,3-6个月
三尖瓣关闭不全,1-3个月
三尖瓣闭锁,1-3个月
三房心,手术治疗20天(终身间歇性治疗)
颈动脉体瘤,3-6月
完全性肺静脉异位回流,1个月
完全性大动脉错位,1月
