肺泡蛋白质沉积症,约40%
百日咳,98%
苯中毒,75%
喘息样支气管炎,95%
成人呼吸窘迫综合征,85%
大量羊水吸入,85%
单纯性肺嗜酸粒细胞浸润症,100%
大叶性肺炎,90%以上
大楼病综合征,90%
二硫化碳中毒,80-85%
肺-胸膜阿米巴病,80%
肺出血－肾炎综合征,70%
肺放线菌病,96%
肺泡蛋白沉着症,1-3%
肺曲菌病,70-80%
放射性肺炎,70%
肺念珠菌病,80%
肺大疱,85%
肺炎球菌肺炎,80%
肺气肿,0.5%
肺炎杆菌肺炎,68%
肺脓肿,70%
肺栓塞,60%
肺炎,95%
肺大泡,85%
肺水肿,75%治愈率
非典,40%
肺转移瘤,20%
肺炎性假瘤,86%
肺隐球菌病,87%
肺癌,根据病期和治疗敏感性
镉中毒,45%-55%
感冒,97%
感染性休克,根据病情的不同时期，早期治愈率高，晚期死亡率高
过敏性休克,80%
Goodpasture综合征,40-60%
过敏性肺炎,70%
汞中毒,30%
呼吸道异物,70%
呼吸性细支气管相关的间质性肺疾病,30--50%
呼吸衰竭,70%
呼吸道合胞病毒肺炎,95%
减压病,60%
急性呼吸衰竭,80%
急性肺脓肿,80-90%
军团病,85%
急性呼吸窘迫综合征,60-85%
军团菌病,91%
结核性脓胸,70%
金黄色葡萄球菌肺炎,96%
咖啡因与氨茶碱中毒,60%
卡氏肺囊虫肺炎,60-80%
咯血,60%
硫化氢中毒,60-70%
老年肺炎,65%
流行性感冒,96%
免疫缺陷者肺炎,10%
镍中毒,80%
铍中毒,65%-75%
缺血缺氧性脑病,75%
气胸,86.2%
球孢子菌病,75%
禽流感,75%
迁延性肺嗜酸粒细胞浸润症,80%以上
气管肿瘤,50-70%
气管先天性疾病,70%
气管、支气管狭窄,75%
乳酸性酸中毒,50%
热带性肺嗜酸粒细胞浸润症,65%
手术后和创伤后肺炎,93%
鼾症,60%
特发性肺纤维化,70%
脱屑性间质性肺炎,50%
特发性阻塞性细支气管炎伴机化性肺炎,75%
特发性含铁血黄素沉着症,无法治愈
外源性过敏性肺泡炎,80%
小儿结核病,95%
新生儿呼吸窘迫综合征,85%
吸入性损伤,60%
小儿金黄色葡萄球菌肺炎,85%--98%
小儿急性支气管炎,99%
小儿流行性感冒,99.9%
小儿急性喉炎,99%
矽肺,不易治愈
新生儿窒息,80%
小儿支原体肺炎,99.%
新生儿肺不张,95%
小儿感冒,99%以上
哮喘,80%
小儿哮喘,80%以上
小儿肺炎,95%以上
新生儿呼吸暂停,95%
先天性肺囊肿,85%
休克型肺炎,80%
吸入性肺炎,95%
腺病毒肺炎,90%
哮喘性肺嗜酸粒细胞浸润症,40-80%
细菌性肺炎,97%
新生儿湿肺,大于90%。
胸壁结核,70%
乙醚中毒,30%
淹溺,根据现场救治的及时性而定
衣原体肺炎,70%
羊水与胎粪吸入综合征,95%
一氧化碳中毒,70%
阻塞性肺气肿,60%
支原体肺炎,60-80%
支气管扩张,80%
支气管肺炎,95%
变应性血管炎,绝大多数均可治愈
病毒性心肌炎,70%
病态窦房结综合征,70%
川崎病,95%
穿透性心脏外伤,64%
窦性停搏,80%
单心室,60%
单心房,对症治疗为主，无法根治
单纯性下肢静脉曲张,95%
动脉硬化,85%
动脉导管未闭,98%
窦性心动过速,20%-40%
动脉瘤,70%
二尖瓣关闭不全,95%以上
二尖瓣狭窄,手术治愈率95%以上
二尖瓣脱垂综合征,65%
二尖瓣环钙化,60%
肺性脑病,70%
风湿性二尖瓣狭窄,95%
风湿性二尖瓣关闭不全,75%
肥厚型梗阻性心肌病,60%
房室管畸形,手术治愈率约60%
法洛四联症,78%
风湿热,80%
肺动脉口狭窄,80%
肥厚型心肌病,60-70%
房室传导阻滞,85%
肺动静脉瘘,45%
高血压危象,只能缓解病情，不能治愈，必须长期服药维持
高血压,0.0001%(终身性疾病)
冠状动脉终止异常,95%
冠状动脉异位起源,75%
感染性心内膜炎,60%
冠心病,不能治愈
后天性三尖瓣关闭不全,75%
后天性动静脉瘘,82%
间歇性眼球突出症,30%
急性心肌梗死,60%
酒精性心肌病,70%
急性心功能不全,65%
急性感染性心内膜炎,60%
急性心包炎,70%
急性心力衰竭,60%
甲亢,70%
扩张型心肌病,40-50%
克山病,40%
雷诺病,80%
慢性肺源性心脏病,是不能治愈的疾病
缺血性心肌病,60%
四肢血栓性浅静脉炎,60%
三尖瓣下移畸形,75%
三尖瓣狭窄,90%
三尖瓣关闭不全,手术治愈率达95%
三尖瓣闭锁,50%
三房心,2.5%
颈动脉体瘤,55%
完全性肺静脉异位回流,90%
完全性大动脉错位,75%
休克,根据休克的不同时期治愈率区别很大
新生儿缺氧缺血性脑病,总死亡率12.5%，神经障碍后遗症发生率14%
新生儿硬肿症,70%
血管瘤,95%
先天性风疹,75%
血栓闭塞性脉管炎,70%
胸降主动脉动脉瘤,70%
胸主动脉夹层动脉瘤,90%
心脏神经官能症,80%
心内膜弹性纤维增生症,60%
心绞痛,60%
心肌梗塞并发心室间隔穿破,80%
心肌梗塞并发二尖瓣关闭不全,70%
心肌梗死,30%
心功能障碍,75%
心包囊肿,80%
小儿高血压,55%
小儿充血性心力衰竭,75%
心肌梗塞并发左心室室壁瘤,60%
先天性主动脉缩窄,90%
先天性主动脉弓畸形,90%
先天性主动脉瓣下狭窄,40%
先天性主动脉瓣上狭窄,85%
先天性动脉导管未闭,90%
先天性动静脉瘘,30%
先天性二尖瓣畸形,50%
心包积液,30%
心肌病,40%
心律失常,95%
限制型心肌病,对症治疗为主，无法根治
心房扑动与心房颤动,75%
心室内传导阻滞,75%
先天性主动脉瓣窦动脉瘤破裂,80%
心包肿瘤,60%
血管运动性鼻炎,药物治疗可有效改善症状
胸腔积液,80%
心肌炎,95%
心脏内粘液瘤,90%
心室间隔缺损,99%
羊水过多,80%
原发性下肢静脉瓣膜关闭不全,70%~95%
亚急性感染性心内膜炎,50%-60%
乙状窦血栓性静脉炎,60%
左心室双出口,60%
左心发育不良,50%
自发性血胸,98%
主-肺动脉隔缺损,95%
主动脉夹层,外科手术治愈率约为80%以上
主动脉瓣狭窄合并关闭不全,70%
主动脉瓣膜部狭窄,70%
阵发性室上性心动过速,85%
早搏,80%
主动脉瘤,外科治愈率90%以上
主动脉瓣狭窄,手术治愈率95%以上
主动脉瓣关闭不全,手术治愈率95%以上
阵发性室性心动过速,69%
中暑衰竭,60--80%
阿米巴肝脓肿,70%
氨基甲酸酯类农药中毒,80-85%
阿米巴肠病,90%
阿片类药物中毒,75%
柏-查综合征,55%
Brenneman综合征,52%
巴瑞特综合征,50%
半乳糖血症,1%
暴发性肝功能衰竭,75%
鞭虫病,90%
布卡综合症,30%
暴发性肝炎样综合征,72%
便秘,75%
吡唑酮类中毒,65%
Barrett食管,外科手术治愈率约为65%
贲门失弛缓症,70%
钡中毒,85%
变形杆菌食物中毒,90%
蓖麻子中毒,90%
铋中毒,10%--30%
丙型病毒性肝炎,90%
肠病性肢皮炎综合征,70%
肠道菌群失调症,95%
肠扭转综合征,50%
肠气肿综合征,80%
肠系膜淋巴结结核,80%
肠系膜上动脉压迫综合征,50%
粗制棉子油中毒,80%
肠扭转,60%
肠套叠,外科手术治愈率约为80%
肠间脓肿,70%
