symID,symptom
1,唇干舌燥
2,胎儿单臂先露
3,肩胛骨突出
4,指（趾）甲颜色改变
5,脚趾皮肤黄泡后紫黑
6,膝内翻
7,闭经
8,智力发育迟缓
9,疤痕处破损后出现溃疡
10,梦幻觉
11,毛囊性呈鳞片状角化
12,听力下降
13,胆碱能危象
14,股前外侧麻木、蚁行感
15,被害妄想
16,体内水钠潴留
17,黄色结节
18,口唇发黄
19,反复发作性头痛
20,白带
21,劳累后遗精
22,产褥期恶露
23,耳流脓
24,动脉导管未闭
25,皮肤发红
26,拒食
27,手表皮深处的水疱
28,肾病性浮肿面容
29,紧张性头痛
30,会阴瘘管或窦道形成
31,精索静脉曲张
32,生理性厌食
33,咳嗽伴胸痛
34,干性坐骨神经痛
35,呼气时两颊鼓起和缩唇
36,骶椎腰化
37,喜凉怕热
38,房间隔缺损
39,腕管综合征
40,死骨
41,肝外胆管结石
42,小便不易排空
43,脑占位性病变
44,小便淋漓
45,肺纹理增粗
46,餐后发作性腹痛
47,四肢麻木
48,胫骨结节处的酸痛，肿胀
49,胃粘膜呈萎缩性改变
50,月经量少
51,骨膜炎
52,齿龈增生
53,气促
54,反射性腰痛
55,腹部皮肤出现白纹、粉红色或紫纹
56,翻身困难
57,颧骨额骨下陷
58,指甲有红色或黑色斑点
59,阑尾穿孔
60,表皮全层坏死及
61,喜讲秽语
62,左上腹痛
63,尾骶部疼痛
64,中心性钙化
65,中毒性巨结肠
66,大腿外侧痛
67,肺动脉杂音
68,低血糖性低温症
69,镇静、麻醉剂所致昏迷
70,心脏猝死
71,热衰竭
72,凝肩
73,孕妇仰卧位低血压
74,斜视
75,肘部剧烈疼痛，压痛肿胀
76,神疲乏力
77,额部白斑
78,囊肿性痤疮
79,肠粘膜有坏死溃疡
80,指甲上起小细粒
81,指甲呈筒形
82,伴高血压
83,嗜酸细胞增加
84,气管和纵隔移位
85,头颅骨病变
86,胃疼
87,婴儿黑头粉刺
88,成人多动症
89,大便酸臭
90,腭部有黑色焦痂
91,情绪性厌食
92,眼球突出
93,舌苔白润
94,视野缩小
95,异常出血
96,难治性溃疡
97,白带异常
98,血偏酸
99,鼻干
100,强迫俯卧位
101,烧伤后恶心与呕吐
102,肝昏迷
103,腰背酸痛
104,腰椎不稳
105,输精管疼痛
106,不稳定性心绞痛
107,空腹低血糖
108,阴部灼热
109,体内湿热
110,脂肪瘤
111,鼻痒
112,椎间盘退行性变
113,搭肩试验阳性
114,非对称性关节痛
115,宫颈软
116,绿风内障
117,胎动过频
118,头皮坏死
119,三叉神经分布区麻木感
120,中指指甲凹陷
121,双眼Bell现象不对称
122,剧痒
123,妊娠时伴有腹痛的阴道流血
124,颈内动脉创伤性血栓
125,泌尿道破裂
126,前庭反射消失
127,胎儿宫内发育迟缓
128,头跳痛
129,口角生疮
130,气血虚弱
131,钝痛
132,社交恐惧
133,一过性昏厥
134,低血糖症
135,吸气困难
136,呼吸衰竭
137,经期提前
138,神经失用
139,颈性头痛
140,眼睛发红
141,异常鱼鳞癣
142,虹膜异色
143,失钠多于失水且血清钠浓度低
144,肛门短时间阵发性钝痛
145,肛裂溃疡
146,折刀现象
147,视物变形
148,心脏畸形
149,血脂异常
150,血管萎缩性白斑
151,第5指短小弯曲
152,食欲异常
153,局限性肌张力障碍
154,肾异位伴随输尿管异位
155,宫颈水肿
156,抱轮红赤
157,妊娠高血压征
158,虚汗
159,胸痛伴呼吸困难
160,骨及软组织肥大
161,尿道分泌粘液或
162,不明原因发热
163,骨增粗
164,深睡眠症
165,屈腕屈指无力
166,血性胸水
167,眼睛胀痛
168,小脑功能损害
169,思维中断
170,脓浊带下
171,干啰音
172,羊膜腔感染
173,脑灰质移位
174,鼻粘膜溃疡和萎缩
175,呼吸异常
176,先天性无子宫
177,尿液呈黑色
178,嗓音粗
179,鸡眼
180,虹膜表面形成灰白色肿瘤结节
181,骨蒸潮热
182,脐周脓性分泌物较多
183,肾上腺中毒
184,肾前性肾功能不全
185,低射血分数
186,梅毒性脱发
187,手震颤
188,SM累积量升高
189,肩带肌、上肢和
190,鼻孔外露
191,肩背颈项痛
192,睡觉时突然抽搐一下
193,情绪性哮喘
194,胃肠动力差
195,数目较多的咖啡牛奶斑
196,肺栓塞
197,淋巴结退化
198,闭经-乳溢-不育三联征
199,产道裂伤
200,颅缝裂开
201,肠镜
202,足不能跖屈和内翻
203,刷牙时恶心
204,骨囊肿
205,烫伤
206,胆囊收缩功能不良
207,髋关节发育不良
208,细胞酶活性异常
209,非感染性发热
210,髌后捻发音
211,摇摆步态
212,鳞状细胞化生
213,男型骨盆
214,涩脉
215,宫颈黏液脓性分泌物
216,手凉
217,房性逸搏心律加速
218,外阴压痛
219,尿常规异常
220,咳血
221,滑脉
222,胸腹壁浅在条索伴疼痛或牵扯痛
223,睫毛掉落
224,睾丸胀痛
225,心律失常
226,腹股沟淋巴结肿大
227,角膜树枝状改变
228,急性胃痛
229,夏季痒疹
230,烂桃样血痰
231,淀粉样变性
232,强迫性神经官能症
233,肩胛带肌肉萎缩
234,鼻粘膜肿胀
235,阴道不规则出血
236,强迫性联想
237,结痂
238,髌骨劳损
239,角膜有菌苔或溃疡
240,淋巴发育不全
241,肛管括约肌横断
242,手术创伤
243,音调韵律的异常
244,主动脉和肺动脉影偏小
245,迁徙性浅静脉血栓形成
246,食欲减退
247,失音
248,咽喉不利
249,乳房肥大
250,维生素B族缺乏
251,面容失认
252,面色灰暗
253,鼻子黄色或棕色
254,贲门弛缓
255,绝经后子宫内膜增厚
256,四肢呈对称性下运动神经元性瘫痪
257,鼻中隔向一侧或
258,盆腔沉重感
259,无名指指甲凹陷
260,胃嵌顿
261,感觉过度
262,步态不稳
263,脑白质脱髓鞘
264,小腿腓部肌肉疼痛和压痛
265,胎儿不完全臀先露
266,胆道闭锁
267,血流迟缓
268,痉笑面容
269,充血
270,思考困难感
271,类戒断反应
272,长骨肿胀疼痛
273,关节面不规则硬化
274,骶髂部剧烈疼痛
275,尾部中线有细小
276,咳出带臭味的干痂
277,颈部怕前屈，怕仰伸
278,电解质紊乱
279,假笑
280,药物性水肿
281,假性宫缩
282,青光眼斑
283,肘部扭伤
284,下背部僵硬和疼痛
285,虹膜表面形成灰
286,肾小球有病理形态改变
287,眼球不能随意动
288,肝细胞坏死
289,血精
290,风团
291,拇指征
292,丘疹性痤疮
293,出血性丘疹
294,唇外翻
295,尿流呈波动状
296,屈性截瘫
297,味觉减退
298,晕厥预兆
299,颈部有擦伤痕迹或肿胀
300,乳酸蓄积过多
301,拇、食、中三指
302,泛恶欲吐
303,肌痛
304,新生儿喉喘鸣
305,尿失禁
306,甲亢面容
307,胃肠感冒
308,窦房结病变
309,眼睑异物
310,气道和食管之间的瘘管
311,写字或拿小物品困难
312,皮肤坏死
313,臂丛神经受累
314,肝下垂
315,皮温降低
316,过早丧失咀嚼功能
317,广泛红斑浸润损害伴有脱屑
318,新生儿少吃
319,血清睾酮浓度明显升高
320,自发性流产
321,尿道流出分泌物
322,继发性视神经萎缩
323,嗅觉丧失
324,瘀血
325,口唇严重充血呈红色
326,鼻孔闭锁
327,宫颈肥大
328,排便时间过长
329,产后无乳汁分泌
330,胎漏不止
331,巨阴症
332,眼前黑影
333,持续性肠绞痛
334,双侧下腹坠痛
335,子宫小
336,机械地重复周围人的言语或行为
337,结肠息肉
338,急性宫颈炎
339,肛门括约肌松弛
340,孕妇乏力
341,局部灼热
342,食物过敏
343,色情行为
344,突发的右侧心衰
345,胃肠淋巴回流受阻
346,臀产式
347,卵圆孔闭合不全
348,包皮嵌顿
349,皮肤温度升高
350,上腹部压痛
351,阴茎瘙痒
352,呕恶纳呆
353,两眼干涩
354,带血性分泌物
355,虹膜节段性萎缩
356,过劳死
357,甲状腺扪及光滑
358,脑血管痉挛
359,震水音
360,婴幼儿脐部有肿物突出
361,舌苔薄白
362,烧伤创面苍白或焦黄炭化
